name,area,food,takeout,url
中華料理　翔龍,常盤・日吉,中華料理,あり,https://imabari-pcoupon.jp/kamei/?id=212
寺町もりもとや,美須賀・城東,ファストフード・その他,あり,https://imabari-pcoupon.jp/kamei/?id=213
くろしお,しまなみ（大島・伯方島・大三島・関前）,和食・鍋,あり,https://imabari-pcoupon.jp/kamei/?id=215
八勝亭玉川店,菊間・玉川,焼肉・鉄板料理,あり,https://imabari-pcoupon.jp/kamei/?id=216
今治国際ホテル　ラウンジ23,美須賀・城東,洋食・レストラン,なし,https://imabari-pcoupon.jp/kamei/?id=217
みいと亭,しまなみ（大島・伯方島・大三島・関前）,焼肉・鉄板料理,あり,https://imabari-pcoupon.jp/kamei/?id=218
一心太助寿し,常盤・日吉,和食・鍋,あり,https://imabari-pcoupon.jp/kamei/?id=219
KUNEL KITCHEN,波止浜・波方・大西,洋食・レストラン,あり,https://imabari-pcoupon.jp/kamei/?id=220
おふざけ,常盤・日吉,居酒屋・バー,あり,https://imabari-pcoupon.jp/kamei/?id=221
Bistoro paysan,しまなみ（大島・伯方島・大三島・関前）,居酒屋・バー,なし,https://imabari-pcoupon.jp/kamei/?id=222
馳走家とり壱,立花・鳥生・富田,居酒屋・バー,あり,https://imabari-pcoupon.jp/kamei/?id=223
RAMO,常盤・日吉,洋食・レストラン,なし,https://imabari-pcoupon.jp/kamei/?id=224
八勝亭今治店,常盤・日吉,洋食・レストラン,あり,https://imabari-pcoupon.jp/kamei/?id=225
八勝亭波止浜店,波止浜・波方・大西,洋食・レストラン,あり,https://imabari-pcoupon.jp/kamei/?id=226
三日月,立花・鳥生・富田,和食・鍋,あり,https://imabari-pcoupon.jp/kamei/?id=227
利鳳園,波止浜・波方・大西,焼肉・鉄板料理,あり,https://imabari-pcoupon.jp/kamei/?id=228
竹の里,清水・日高・乃万,和食・鍋,あり,https://imabari-pcoupon.jp/kamei/?id=229
二葉　本店,常盤・日吉,ファストフード・その他,あり,https://imabari-pcoupon.jp/kamei/?id=230
二葉　今治駅店,常盤・日吉,和食・鍋,あり,https://imabari-pcoupon.jp/kamei/?id=231
中華居酒屋りん,常盤・日吉,中華料理,あり,https://imabari-pcoupon.jp/kamei/?id=232
ホテル・割烹　海舟亭,美須賀・城東,和食・鍋,なし,https://imabari-pcoupon.jp/kamei/?id=233
おばんざい久,常盤・日吉,居酒屋・バー,なし,https://imabari-pcoupon.jp/kamei/?id=234
Suerte,近見・別宮,喫茶・カフェ,あり,https://imabari-pcoupon.jp/kamei/?id=235
Busy Bee,美須賀・城東,喫茶・カフェ,あり,https://imabari-pcoupon.jp/kamei/?id=236
居酒屋心ろく,常盤・日吉,居酒屋・バー,あり,https://imabari-pcoupon.jp/kamei/?id=237
中華料理　福臨,立花・鳥生・富田,中華料理,あり,https://imabari-pcoupon.jp/kamei/?id=239
中華料理　生香楼,近見・別宮,中華料理,あり,https://imabari-pcoupon.jp/kamei/?id=240
自然良味　ゆらり,桜井・国分・朝倉,喫茶・カフェ,あり,https://imabari-pcoupon.jp/kamei/?id=241
うなぎや,桜井・国分・朝倉,和食・鍋,あり,https://imabari-pcoupon.jp/kamei/?id=242
根岸寿司,美須賀・城東,和食・鍋,あり,https://imabari-pcoupon.jp/kamei/?id=243
城下まち,美須賀・城東,和食・鍋,あり,https://imabari-pcoupon.jp/kamei/?id=244
美太に,美須賀・城東,和食・鍋,なし,https://imabari-pcoupon.jp/kamei/?id=245
アーリーブルーメル上徳店,立花・鳥生・富田,喫茶・カフェ,あり,https://imabari-pcoupon.jp/kamei/?id=246
海鮮居酒屋 羽倉,波止浜・波方・大西,居酒屋・バー,あり,https://imabari-pcoupon.jp/kamei/?id=247
アーリーブルーメル旭町店,常盤・日吉,喫茶・カフェ,あり,https://imabari-pcoupon.jp/kamei/?id=248
そば元,近見・別宮,ファストフード・その他,あり,https://imabari-pcoupon.jp/kamei/?id=249
大阪王将今治喜田村店,立花・鳥生・富田,中華料理,あり,https://imabari-pcoupon.jp/kamei/?id=250
中華料理　聚香楼,立花・鳥生・富田,中華料理,あり,https://imabari-pcoupon.jp/kamei/?id=251
うたしの里　石川,しまなみ（大島・伯方島・大三島・関前）,和食・鍋,なし,https://imabari-pcoupon.jp/kamei/?id=252
焼肉味楽,近見・別宮,焼肉・鉄板料理,あり,https://imabari-pcoupon.jp/kamei/?id=253
蔵福,美須賀・城東,喫茶・カフェ,あり,https://imabari-pcoupon.jp/kamei/?id=254
中華そば  千  KAZU,常盤・日吉,ファストフード・その他,あり,https://imabari-pcoupon.jp/kamei/?id=255
